Order sent to UNF | {"orderId":35,"http":200}

Order enqueued | {"orderId":36}

Order sent to UNF | {"orderId":36,"http":200}

Order enqueued | {"orderId":37}

Order sent to UNF | {"orderId":37,"http":200}

Order enqueued | {"orderId":38}

Order sent to UNF | {"orderId":38,"http":200}

Order enqueued | {"orderId":39}

Order sent to UNF | {"orderId":39,"http":200}

Order enqueued | {"orderId":40}

Order sent to UNF | {"orderId":40,"http":200}

Order enqueued | {"orderId":41}

Order sent to UNF | {"orderId":41,"http":200}

Order enqueued | {"orderId":42}

Order sent to UNF | {"orderId":42,"http":200}

Order enqueued | {"orderId":43}

Order sent to UNF | {"orderId":43,"http":200}

Order enqueued | {"orderId":44}

Order sent to UNF | {"orderId":44,"http":200}

Paid update enqueued | {"orderId":43,"paymentId":43,"psActionId":11}

Paid update sent to UNF | {"orderId":43,"http":200}

Order enqueued | {"orderId":45}

Order sent to UNF | {"orderId":45,"http":200}

Paid update enqueued | {"orderId":45,"paymentId":45,"psActionId":11}

Paid update sent to UNF | {"orderId":45,"http":200}

Paid update enqueued | {"orderId":43,"paymentId":43,"psActionId":11}

Paid update sent to UNF | {"orderId":43,"http":200}

Order enqueued | {"orderId":46}

Order sent to UNF | {"orderId":46,"http":200}

Paid update enqueued | {"orderId":46,"paymentId":46,"psActionId":11}

UNF paid update failed | {"orderId":46,"attempts":1,"delay":30,"error":"UNF returned HTTP 404"}

UNF paid update failed | {"orderId":46,"attempts":2,"delay":60,"error":"UNF returned HTTP 404"}

UNF paid update failed | {"orderId":46,"attempts":3,"delay":120,"error":"UNF returned HTTP 500"}

Order enqueued | {"orderId":47}

Order sent to UNF | {"orderId":47,"http":200}

UNF paid update failed | {"orderId":46,"attempts":4,"delay":240,"error":"UNF returned HTTP 500"}

UNF paid update failed | {"orderId":46,"attempts":5,"delay":480,"error":"UNF returned HTTP 500"}

Paid update enqueued | {"orderId":47,"paymentId":47,"psActionId":11}

UNF paid update failed | {"orderId":46,"attempts":6,"delay":960,"error":"UNF returned HTTP 500"}

UNF paid update failed | {"orderId":47,"attempts":1,"delay":30,"error":"UNF returned HTTP 500"}

UNF paid update failed | {"orderId":46,"attempts":7,"delay":1920,"error":"UNF returned HTTP 500"}

UNF paid update failed | {"orderId":47,"attempts":2,"delay":60,"error":"UNF returned HTTP 500"}

Paid update sent to UNF | {"orderId":46,"http":200}

Paid update sent to UNF | {"orderId":47,"http":200}

Order enqueued | {"orderId":48}

Order sent to UNF | {"orderId":48,"http":200}

Paid update enqueued | {"orderId":48,"paymentId":48,"psActionId":11}

Paid update sent to UNF | {"orderId":48,"http":200}

UNF paid update failed | {"orderId":48,"attempts":1,"delay":30,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(272)}: Поле объекта не обнаружено (ПоступлениеНаРасчетныйСчет)"}

UNF paid update failed | {"orderId":48,"attempts":2,"delay":60,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(321)}: Поле объекта не обнаружено (ДоговорКонтрагента)"}

Order enqueued | {"orderId":49}

Order sent to UNF | {"orderId":49,"http":200}

UNF paid update failed | {"orderId":48,"attempts":3,"delay":120,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(321)}: Поле объекта не обнаружено (ДоговорКонтрагента)"}

UNF paid update failed | {"orderId":48,"attempts":4,"delay":240,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(321)}: Поле объекта не обнаружено (ДоговорКонтрагента)"}

Paid update enqueued | {"orderId":49,"paymentId":49,"psActionId":11}

UNF paid update failed | {"orderId":48,"attempts":5,"delay":480,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(321)}: Поле объекта не обнаружено (ДоговорКонтрагента)"}

UNF paid update failed | {"orderId":49,"attempts":1,"delay":30,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(321)}: Поле объекта не обнаружено (ДоговорКонтрагента)"}

UNF paid update failed | {"orderId":48,"attempts":6,"delay":960,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(321)}: Поле объекта не обнаружено (ДоговорКонтрагента)"}

UNF paid update failed | {"orderId":49,"attempts":2,"delay":60,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(321)}: Поле объекта не обнаружено (ДоговорКонтрагента)"}

Paid update sent to UNF | {"orderId":46,"http":200}

Paid update sent to UNF | {"orderId":47,"http":200}

Paid update sent to UNF | {"orderId":48,"http":200}

Paid update sent to UNF | {"orderId":49,"http":200}

Order enqueued | {"orderId":50}

Order sent to UNF | {"orderId":50,"http":200}

Paid update enqueued | {"orderId":50,"paymentId":50,"psActionId":11}

Paid update sent to UNF | {"orderId":50,"http":200}

Order enqueued | {"orderId":51}

Order sent to UNF | {"orderId":51,"http":200}

Paid update enqueued | {"orderId":51,"paymentId":51,"psActionId":11}

UNF paid update failed | {"orderId":51,"attempts":1,"delay":30,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(398)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":51,"attempts":2,"delay":60,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(398)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":51,"attempts":1,"delay":30,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(427)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

Order enqueued | {"orderId":52}

Order sent to UNF | {"orderId":52,"http":200}

UNF paid update failed | {"orderId":51,"attempts":2,"delay":60,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(427)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":51,"attempts":3,"delay":120,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(427)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

Paid update enqueued | {"orderId":52,"paymentId":52,"psActionId":11}

UNF paid update failed | {"orderId":51,"attempts":4,"delay":240,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(427)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":52,"attempts":1,"delay":30,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(427)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":51,"attempts":5,"delay":480,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(427)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":52,"attempts":2,"delay":60,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(427)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":51,"attempts":6,"delay":960,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":52,"attempts":3,"delay":120,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

Order enqueued | {"orderId":53}

Order sent to UNF | {"orderId":53,"http":200}

UNF paid update failed | {"orderId":51,"attempts":7,"delay":1920,"error":"UNF returned HTTP 500"}

UNF paid update failed | {"orderId":52,"attempts":4,"delay":240,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

Paid update enqueued | {"orderId":53,"paymentId":53,"psActionId":11}

UNF paid update failed | {"orderId":51,"attempts":8,"delay":3600,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":52,"attempts":5,"delay":480,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":53,"attempts":1,"delay":30,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":51,"attempts":9,"delay":3600,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":52,"attempts":6,"delay":960,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":53,"attempts":2,"delay":60,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":51,"attempts":1,"delay":30,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":52,"attempts":1,"delay":30,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

UNF paid update failed | {"orderId":53,"attempts":3,"delay":120,"error":"UNF payment_result.ok=false: {ОбщийМодуль.MfBitrixUnfOrdersUpdate.Модуль(429)}: Ошибка при вызове метода контекста (Записать): Ошибка при выполнении обработчика - 'ОбработкаПроведения': {ОбщийМодуль.ПроведениеДокументовУНФ.Модуль(182)}: Ошибка при вызове метода контекста (Записать): Запись не верна! Значение поля \"Счет учета\" не может быть пустым! (Регистр накопления: Доходы и расходы; Номер строки: 1)"}

